#,Category,Capability, User Story,Required?,Priority,Status,Frontend,Backend,Figma Links,Client comments
,,,,,,,400,417,,
,HRMS,Payroll Setting,"As a Admin, I should be able to have acces to handle payroll settings for 
- Pay Period
- Workweek
- The last Pay period
- Over time calculation
- Lable exicutions",Yes,Should Have,Retained,12,12,,
,HRMS,Compliance Monitoring,"As a provider, I should be able to monitor employee compliance requirements.",Yes,Should Have,Retained,12,12,,
,HRMS,PTO Management,"As a provider, I should be able to track vacation and PTO.",Yes,Should Have,Retained,4,4,,
,HRMS,Timesheet Management,"As a provider, I should be able to manage timesheets based on patient service hours.",Yes,Should Have,Retained,12,12,,
,Timesheet Automation,Auto-Generated Timesheets,"As a staff member, my timesheets should be automatically generated from my EVV clock in/out records and scheduled shift data, eliminating manual time entry and ensuring accurate billing and payroll records.",Yes,Should Have,Retained,4,4,,
,Pay Rules Engine,Automated Pay Calculations,"As a payroll administrator, the system should automatically calculate overtime (daily/weekly thresholds), shift differentials (night/weekend/holiday rates), and premium pay based on configurable rules, with clear breakdown showing regular hours, overtime hours, and applicable rates for each timesheet entry.",Yes,Should Have,Retained,4,4,,
,Timesheet Approval Workflow,Multi-Level Review Process,"As a supervisor, I should be able to review submitted timesheets with flagged discrepancies (late clock-ins, missing punches, overtime alerts), approve or reject with comments, and route to payroll once approved, with staff receiving notifications of approval status and required corrections.",Yes,Should Have,Retained,4,4,,
,Payroll Integration,Seamless Payroll Export,"As a payroll administrator, I should be able to export approved timesheets in the required format for my payroll vendor (ADP, Gusto, Paychex, QuickBooks) with employee ID mapping, hours breakdown by pay type, and automated file transmission or download for seamless payroll processing.",Yes,Should Have,Retained,4,4,,
Dashboard,,,,,,,,,,
,Dashboard Metrics,Summary Cards,"As a HR Admin, I should be able to view summary cards on header
- Total Employees
- Pending Leave Approvals
- Documents Expiring
- Payroll Status",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2430-78194&t=R5jBQYWFVqPl0hxK-4,
,Dashboard - Leave Approval Queue,Pending Requests section,"As a HR Admin, I should be able see ""Leave Requests Awaiting Approval"" section with list of pending leave requests with -  
- Record count(On section header)
- Employee name,
- Dates : From - To
- Leave request type
- Status",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2430-78194&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Dashboard - Compliance Alerts,Compliance Alert section,"As a HR Admin, I should be able to see ""Compliance Alert"" section with list of expiring documents
- Record count(On section header)
- Employee name
- Work Visa/ Certification/  Background Check doc
- Expiry date",,,Modified,8,8,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2430-78194&t=R5jBQYWFVqPl0hxK-4,
,Dashboard - Workforce Movement,View new joiners,"As a HR Admin, I should be able to view ""Workforce Movement"" section with New Joiners & Exit list",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2430-78194&t=R5jBQYWFVqPl0hxK-4,
,Dashboard - Workforce Movement,View All new hire / exits,"As a HR Admin, I should be able to click ""View All"" to see complete new hire or exit lists.",,,New,2,2,,
,Dashboard - Workforce Movement,Click to view profile,"As a HR Admin, I should be able to click on employee to access their profile or onboarding/exit status.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2495-39104&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Dashboard - Staffing Management,View Facilities,"As a HR Admin, I should be able to view facilities with staff shortages showing 
- Facility name
- Shift
- Shortage count.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2430-78194&t=R5jBQYWFVqPl0hxK-4,
,Dashboard - Staffing Management,View Shift Details,"As a HR Admin, I should be able to click alert to view shift details and request additional staff or approve overtime.",,,New,4,4,,
,Dashboard - Activity Log,Recent Activities,"As a HR Admin, I should be able to view recent activities
- New Hire
- Shift Update
- Exit
- Compliance Review with person and time.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2430-78194&t=R5jBQYWFVqPl0hxK-4,
,Dashboard - Activity Log,View Activity History,"As a HR Admin, I should be able to click ""View All"" to see complete activity history with filters.",,,New,2,2,,
HR Admin Operations,,,,,,,,,,
,HR Admin Operations,Add Employee ,"As an HR Admin, I should be able to Add an employee with its details.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=858-41654&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Employee List,"As an HR Admin, I should be able to view Employees list with tabs for All, Active, and terminated employees.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2448-40493&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,HR Admin Operations,Manage onboarding forms,"As an HR Admin, I should be able to view, add/select, send and delete onboarding forms for a new employee.
ex; Background check report, Drug Screen report etc.",,,New,8,8,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2522-43218&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Manage Mandatory Documents,"As an HR Admin, I should be able to upload, view, edit and delete mandatory employee documents during onboarding.
ex; Licenses, Visa Details etc.",,,New,8,8,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2522-44926&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Activate Employee,"As an HR Admin, I should be able to activate employee after verifying employee identity and background.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2528-41372&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,HR Admin Operations,Employee Portal Access,"As an HR Admin, I should be able to send a welcome email to new employees.",,,New,1,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2528-41372&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Resend Welcome Email,"As an HR Admin, I should be able to resend welcome email.",,,New,1,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2528-41372&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,HR Admin Operations,Manage Employee Information,"As a HR Admin, I should be able to view & edit employee information.
- Personal Details
- Other Details",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2495-39104&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Employee Documents,"As an HR Admin, I should be able to view all the employee documents in documents tab.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2495-48474&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Employee Shifts,"As an HR Admin, I should be able to view employee shifts list in the employee profile",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2514-37313&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Manage Employee Shifts,"As an HR Admin, I should be able to manage employee shifts.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2514-37313&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Leave History,"As an HR Admin, I should be able to view Leave History list of the employee in the employee profile",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2514-38394&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Timecards,"As an HR Admin, I should be able to view All Timecards of the employee in employee profile.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2522-38381&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Manage Timecards,"As an HR Admin, I should be able to perform the actions on timecards of the employee.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2522-38381&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,HR Admin Operations,Shift Calendar,"As an HR Admin, I should be able to view all shift entries including Day Off & Leave entries in day, week and month view.",,,New,8,8,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2455-31491&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Shift Timeline,"As an HR Admin, I should be able to view shift timeline.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2455-39200&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Filter Calendar,"As an HR Admin, I should be able to filter calendar by date range, employees, shifts, department and facility",,,New,1,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2455-36025&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,HR Admin Operations,Employees Leaves,"As an HR Admin, I should be able to view all the employees leave requests.
- All, Approved, Rejected, Pending",,,New,8,8,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2455-40287&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Approve / Reject Leave,"As an HR Admin, I should be able to approve / reject employee leave request.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2455-40287&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Leave Details,"As an HR Admin, I should be able to view leave request details for a specific request",,,New,1,1,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2490-35391&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,HR Admin Operations,Performance Reviews,"As an HR Admin, I should be able to view a list of all employee performance reviews.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2463-33971&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Approve Review,"As an HR Admin, I should be able to approve employee performance request",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2463-33971&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Performance details,"As an HR Admin, I should be able to view employee performance details",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2520-39655&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,HR Admin Operations,Training & Orientation,"As an HR Admin, I should be able to schedule orientation for new employee.",,,New,2,2,,
,HR Admin Operations,Assign Training Modules,"As an HR Admin, I should be able to assign training modules to employee.",,,New,2,2,,
,HR Admin Operations,Update Training Status,"As an HR Admin, I should be able to update training completion status for employee.",,,New,2,2,,
,,,,,,,,,,
,HR Admin Operations,Employee Separation,"As an HR Admin, I should be able to create and submit an employee separation request for an employee",,,New,4,4,,
,HR Admin Operations,View Exit Management List,"As an HR Admin, I should be able to view employees exit management list",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2464-34636&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,View Exit Details,"As an HR Admin, I should be able to select employee from list to view full exit details.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2482-34853&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Conduct Exit Interview,"As an HR Admin, I should be able to conduct exit interview",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2482-34853&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Complete Exit Interview and Final Pay,"As an HR Admin, I should be able to view the final pay calculation and mark the employee exit process as complete to finalize the separation.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2482-34853&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Revoke Portal Access,"As an HR Admin, I should be able to revoke employee portal access on separation.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2482-34853&t=R5jBQYWFVqPl0hxK-4,
,HR Admin Operations,Terminate Employee Benefits,"As an HR Admin, I should be able to terminate employee benefits",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2482-34853&t=R5jBQYWFVqPl0hxK-4,
,HRMS,Asset Management,"As a provider, I should be able to manage employee onboarding documentation and background checks.",Yes,Should Have,Modified,4,4,,
,,,,,,,,,,
,HR Admin Operations,Reports,"As an HR Admin, I should be able to generate and download reports.",,,Phase 2,,,,
Supervisor Operations,,,,,,,,,,
,Supervisor Operations,Dashboard,"As a Supervisor, I should be able to view dashboard with - 
Today's Coverage percentage - Total Active Staff, On Shift, Pending Approvals, Upcoming Leave - Weekly Shift Calendar - Staffing Coverage Graph - Approval Queue",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Quick Action Buttons,"As a Supervisor, I should be able to access quick action buttons for 
- New Shift
- New Employee
- Label management.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,View Weekly Shift Calendar,"As a Supervisor, I should be able to view weekly shift calendar with facility filter (ALF), week navigation, employee shifts with shift type and notes, and Day Off indicators.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,View Staffing Coverage Graph,"As a Supervisor, I should be able to view staffing coverage graph showing 
- Required Staff
- Shortage
- Surplus by day with facility filter and legends.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,View Approval Queue,"As a Supervisor, I should be able to view approval queue with filter (All) showing pending leave requests with 
- Employee details
-Dates,
- Leave type
- Status.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Navigate Supervisor Sidebar,"As a Supervisor, I should be able to navigate to Shift Calendar, Requests, Timecard, Performance, Tasks, Appreciation, and Profile from sidebar.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-26165&t=R5jBQYWFVqPl0hxK-4,
,,,,,,,,,,
,Supervisor Operations,Shift Management,"As a Supervisor, I should be able to view shift calendar in List, Week, and Month views with employee shifts and legends.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-97389&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Navigate Shift Calendar,"As a Supervisor, I should be able to navigate calendar with Today, date range selection, facility filter (ALF), and view toggle.",,,New,2,2,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-101311&t=R5jBQYWFVqPl0hxK-4,
,Supervisor Operations,Create Employee Shift,"As a Supervisor, I should be able to create employee shift schedule.",,,New,4,4,https://www.figma.com/design/hkuz22VQvJUViMalUWubAz/Nemicare?node-id=2296-98001&t=R5jBQYWFVqPl0hxK-4,
